id,model_type,model_id,uuid,collection_name,name,file_name,mime_type,disk,conversions_disk,size,manipulations,custom_properties,generated_conversions,responsive_images,order_column,created_at,updated_at
4730,"App\Models\Game",230,6e4e25b1-c983-41b4-bd37-0094c522ebd1,la-cuisine-de-mamie-citrouille,"fond ecran",fond-ecran.png,image/png,media,media,2843884,[],[],"{""thumb"":true}",[],1,"2025-07-21 13:09:57","2025-07-21 13:09:58"
4731,"App\Models\Game",230,2117a91b-ae18-40f8-a3a2-9e2f53283297,la-cuisine-de-mamie-citrouille,equipe,equipe.png,image/png,media,media,60726,[],[],"{""thumb"":true}",[],2,"2025-07-21 13:09:58","2025-07-21 13:09:58"
4732,"App\Models\Game",230,7afeb0e0-1b1d-4489-834a-1e80e9791d9e,la-cuisine-de-mamie-citrouille,"page demarrage",page-demarrage.png,image/png,media,media,1144336,[],[],"{""thumb"":true}",[],3,"2025-07-21 13:09:58","2025-07-21 13:09:58"
4733,"App\Models\Game",230,82707549-c6e7-4852-a29e-3bd4367afe27,la-cuisine-de-mamie-citrouille,play,play.png,image/png,media,media,54158,[],[],"{""thumb"":true}",[],4,"2025-07-21 13:09:58","2025-07-21 13:09:58"
4734,"App\Models\Game",230,ca095f4b-38e8-43e7-be26-ba6e09f88c63,la-cuisine-de-mamie-citrouille,"play survole",play-survole.png,image/png,media,media,41206,[],[],"{""thumb"":true}",[],5,"2025-07-21 13:09:58","2025-07-21 13:09:58"
4735,"App\Models\Game",230,b2723401-4d32-4830-b59a-c702d76fe132,la-cuisine-de-mamie-citrouille,refresh,refresh.png,image/png,media,media,34536,[],[],"{""thumb"":true}",[],6,"2025-07-21 13:09:58","2025-07-21 13:09:58"
4736,"App\Models\Game",230,dbbee2d9-04e2-41bb-9d6c-c9c4ba5b36e6,la-cuisine-de-mamie-citrouille,"refresh survole",refresh-survole.png,image/png,media,media,33939,[],[],"{""thumb"":true}",[],7,"2025-07-21 13:09:58","2025-07-21 13:09:58"
4738,"App\Models\Game",230,c617b99b-681a-4754-a43e-4325f62fbfa0,la-cuisine-de-mamie-citrouille,equipe,equipe.png,image/png,media,media,60726,[],[],"{""thumb"":true}",[],9,"2025-07-21 13:09:59","2025-07-21 13:09:59"
4739,"App\Models\Game",230,d2667ee3-15c1-433d-87b2-5f9ac72d1ee3,la-cuisine-de-mamie-citrouille,"page demarrage",page-demarrage.png,image/png,media,media,1144336,[],[],"{""thumb"":true}",[],10,"2025-07-21 13:09:59","2025-07-21 13:10:00"
4740,"App\Models\Game",230,00fea628-6619-4090-8285-07ca6b435336,la-cuisine-de-mamie-citrouille,play,play.png,image/png,media,media,54158,[],[],"{""thumb"":true}",[],11,"2025-07-21 13:10:00","2025-07-21 13:10:00"
4741,"App\Models\Game",230,4b714c09-ee94-4897-a9c0-49f38dfc3986,la-cuisine-de-mamie-citrouille,"play survole",play-survole.png,image/png,media,media,41206,[],[],"{""thumb"":true}",[],12,"2025-07-21 13:10:00","2025-07-21 13:10:00"
4742,"App\Models\Game",230,d7e78bde-be81-4423-b7ee-c0914dceceb9,la-cuisine-de-mamie-citrouille,refresh,refresh.png,image/png,media,media,34536,[],[],"{""thumb"":true}",[],13,"2025-07-21 13:10:00","2025-07-21 13:10:00"
4743,"App\Models\Game",230,464af9a4-a484-4a2a-b4c6-e243900400a5,la-cuisine-de-mamie-citrouille,"refresh survole",refresh-survole.png,image/png,media,media,33939,[],[],"{""thumb"":true}",[],14,"2025-07-21 13:10:00","2025-07-21 13:10:00"
4744,"App\Models\GameSounds",725,18a90cc8-e0af-4def-a776-a9d9e9f087b6,la-cuisine-de-mamie-citrouille,"Bonne réponse",Bonne-réponse.mp3,application/octet-stream,media,media,178768,[],[],[],[],1,"2025-07-21 13:11:53","2025-07-21 13:11:53"
4745,"App\Models\GameSounds",726,8f3f634b-5458-4fb0-9165-8bcad6252355,la-cuisine-de-mamie-citrouille,"Réponse fausse",Réponse-fausse.mp3,audio/mpeg,media,media,57548,[],[],[],[],1,"2025-07-21 13:11:53","2025-07-21 13:11:53"
4746,"App\Models\GameSounds",727,8e360a59-6b33-46bd-b170-1650c64ca5c7,la-cuisine-de-mamie-citrouille,"Pas de réponse",Pas-de-réponse.mp3,audio/mpeg,media,media,31428,[],[],[],[],1,"2025-07-21 13:11:53","2025-07-21 13:11:53"
4747,"App\Models\GameSounds",728,9fe26002-f9e9-45f0-b2af-1205810987ed,la-cuisine-de-mamie-citrouille,top,top.mp3,audio/mpeg,media,media,24662,[],[],[],[],1,"2025-07-21 13:11:53","2025-07-21 13:11:53"
4748,"App\Models\Game",230,164a471d-89fb-41e1-83ff-9963c6625c32,la-cuisine-de-mamie-citrouille,"1ere place",1ere-place.png,image/png,media,media,661729,[],[],"{""thumb"":true}",[],15,"2025-07-21 13:11:53","2025-07-21 13:11:53"
4749,"App\Models\GameSounds",729,6d8edbef-52a2-4de4-b7dd-85ce3a626edf,la-cuisine-de-mamie-citrouille,"1ere place",1ere-place.mp3,audio/mpeg,media,media,174851,[],[],[],[],1,"2025-07-21 13:11:53","2025-07-21 13:11:53"
4750,"App\Models\Game",230,d7bc8c97-4dd9-49e8-b684-72fed15d8eab,la-cuisine-de-mamie-citrouille,podium,podium.png,image/png,media,media,504228,[],[],"{""thumb"":true}",[],16,"2025-07-21 13:11:53","2025-07-21 13:11:54"
4751,"App\Models\GameSounds",730,e9f15c3b-0ddf-47b5-8d89-d5385fcbfc39,la-cuisine-de-mamie-citrouille,podium,podium.mp3,audio/mpeg,media,media,64073,[],[],[],[],1,"2025-07-21 13:11:54","2025-07-21 13:11:54"
4752,"App\Models\Game",230,83305841-8320-40f4-805d-1a5007ce66a9,la-cuisine-de-mamie-citrouille,top,top.png,image/png,media,media,643453,[],[],"{""thumb"":true}",[],17,"2025-07-21 13:11:54","2025-07-21 13:11:54"
4753,"App\Models\Game",230,90a6d28f-76fd-4cf9-8e7c-303ac4f4d72f,la-cuisine-de-mamie-citrouille,jauge,jauge.png,image/png,media,media,17527,[],[],"{""thumb"":true}",[],18,"2025-07-21 13:21:48","2025-07-21 13:21:48"
4754,"App\Models\Game",230,fc6f1404-5ef3-496e-a12c-f444a3815f65,la-cuisine-de-mamie-citrouille,jauge_contour_kraken,jauge_contour_kraken.png,image/png,media,media,91456,[],[],"{""thumb"":true}",[],19,"2025-07-21 13:21:48","2025-07-21 13:21:48"
4755,"App\Models\Game",230,884fbf82-cf3b-4f87-a1b7-a6b556b360df,la-cuisine-de-mamie-citrouille,"image jaude sucre d'orge",image-jaude-sucre-d'orge.png,image/png,media,media,6157,[],[],"{""thumb"":true}",[],20,"2025-07-21 13:21:48","2025-07-21 13:21:48"
4756,"App\Models\Game",230,be1d3243-4573-41de-9bd0-f1f671aa6d89,la-cuisine-de-mamie-citrouille,"rond jauge",rond-jauge.png,image/png,media,media,11690,[],[],"{""thumb"":true}",[],21,"2025-07-21 13:21:48","2025-07-21 13:21:48"
4757,"App\Models\Game",230,7048adf9-fc7a-4df8-bbe3-5417cbd7c813,la-cuisine-de-mamie-citrouille,timer,timer.png,image/png,media,media,190085,[],[],"{""thumb"":true}",[],22,"2025-07-21 14:01:23","2025-07-21 14:01:23"
4758,"App\Models\Game",230,afc123e8-c124-42af-8ffd-90e19cb20ea8,la-cuisine-de-mamie-citrouille,timer,timer.png,image/png,media,media,190085,[],[],"{""thumb"":true}",[],23,"2025-07-21 14:01:23","2025-07-21 14:01:23"
4759,"App\Models\Game",230,303f7393-c76e-4690-b5f4-8d424b4376d1,la-cuisine-de-mamie-citrouille,score,score.png,image/png,media,media,184993,[],[],"{""thumb"":true}",[],24,"2025-07-21 14:17:11","2025-07-21 14:17:11"
